L/R,p_x,p_y,p_z,v_x,v_y,v_z,a_x,a_y,a_z,t
L,-0.6306126,1.147615,-0.1286407,0.3880534,0.3386282,0.05303117,3.906181,4.218595,-4.592492,3.512142
L,-0.6245978,1.158544,-0.1228328,0.2165249,0.393423,0.2090766,-6.174836,1.972553,5.617466,3.539921
L,-0.6233365,1.174081,-0.1121074,0.04545103,0.5598668,0.3864747,-6.164398,5.997561,6.39228,3.567673
L,-0.6215422,1.191558,-0.1027861,0.06465635,0.6297637,0.3358806,0.6920358,2.518632,-1.823085,3.595425
L,-0.6143573,1.209407,-0.09607753,0.2573045,0.6391863,0.2402464,6.899118,0.3374424,-3.424854,3.623348
L,-0.6050354,1.226219,-0.0897513,0.3317523,0.5983234,0.2251402,2.649478,-1.454245,-0.5376042,3.651447
L,-0.5927466,1.240856,-0.07812578,0.4472976,0.5327774,0.4231547,4.205709,-2.385796,7.207487,3.678921
L,-0.5793034,1.25674,-0.06683386,0.4741721,0.5602673,0.3982924,0.9479247,0.969633,-0.8769521,3.707272
L,-0.5638,1.275732,-0.05373311,0.5754106,0.7048882,0.4862356,3.757478,5.36762,3.264021,3.734215
L,-0.550975,1.294242,-0.03930773,0.4521248,0.6525224,0.5085432,-4.346239,-1.84607,0.786417,3.762581
L,-0.5358083,1.313201,-0.02753032,0.5473353,0.6841831,0.4250244,3.435967,1.142576,-3.014034,3.790291
L,-0.5174508,1.33379,-0.01844413,0.6635842,0.7442774,0.3284462,4.202143,2.172278,-3.491093,3.817955
L,-0.4975821,1.352212,-0.01194812,1.270047,1.177518,0.4152377,38.76627,27.69357,5.547886,3.833599
L,-0.4844746,1.362097,-0.009481888,0.4981944,0.375734,0.09373743,-29.33687,-30.47452,-12.21972,3.859909
L,-0.4511196,1.379324,-0.001937155,1.220012,0.6300972,0.2759602,26.40159,9.303721,6.665076,3.887249
L,-0.4159302,1.395356,0.004161228,2.24063,1.020828,0.3883057,64.98633,24.87924,7.153438,3.902954
L,-0.3976085,1.404717,0.007937369,0.7137669,0.3646623,0.1471084,-59.48252,-25.56249,-9.396406,3.928623
L,-0.3867284,1.402051,0.007065663,0.3853734,-0.0944087,-0.03087589,-11.63173,-16.26033,-6.304219,3.956856
L,-0.3734085,1.401633,0.008279507,0.8857774,-0.02781742,0.08072093,33.27699,4.428338,7.421217,3.971893
L,-0.3642851,1.403746,0.0098263,0.3541096,0.08202084,0.06003589,-20.6357,4.263168,-0.8028515,3.997658
L,-0.3214521,1.436342,0.013393,2.838323,2.159931,0.2363468,164.6162,137.6926,11.68323,4.012749
L,-0.2967151,1.453076,0.01563335,0.9216385,0.623481,0.08346993,-71.41094,-57.24434,-5.695816,4.039589
L,-0.2633052,1.44043,0.01377551,1.208364,-0.4573848,-0.06719371,10.37021,-39.09251,-5.449168,4.067238
L,-0.2456114,1.443045,0.01884073,0.6239322,0.09220305,0.1786141,-20.60871,19.38003,8.667884,4.095596
L,-0.2298852,1.443156,0.02050761,0.5630324,0.003990542,0.05967794,-2.180349,-3.158205,-4.258182,4.123528
L,-0.2100908,1.445135,0.02213129,1.313667,0.1313054,0.1077566,49.81628,8.449322,3.190769,4.138596
L,-0.1980601,1.447213,0.02335284,0.4584662,0.07920392,0.04655062,-32.58987,-1.985476,-2.33243,4.164837
L,-0.1781117,1.44235,0.02353287,1.336406,-0.3257651,0.01206066,58.81589,-27.13013,-2.310589,4.179764
L,-0.1655099,1.441593,0.02413177,0.4724635,-0.02837618,0.02245402,-32.39091,11.1497,0.3896679,4.206436
L,-0.1482747,1.441451,0.02782767,1.082959,-0.008966023,0.2322285,38.35997,1.21962,13.181,4.222351
L,-0.1345927,1.440424,0.02597493,0.5273747,-0.03957598,-0.07141384,-21.41496,-1.179858,-11.70387,4.248295
L,-0.1164302,1.434795,0.02461955,0.6468118,-0.2004483,-0.0482684,4.253458,-5.729074,0.8242682,4.276375
L,-0.1032185,1.43069,0.02686319,0.8572657,-0.2663676,0.145583,13.65575,-4.277313,12.57846,4.291786
L,-0.09671065,1.430571,0.02909007,0.2464611,-0.00453265,0.08433468,-23.13186,9.915987,-2.319543,4.318192
L,-0.08784937,1.430424,0.03230416,0.5800079,-0.009597378,0.2103753,21.83203,-0.3315077,8.249888,4.333469
L,-0.08383386,1.430358,0.03399931,0.1545504,-0.002523491,0.06524358,-16.37515,0.2722621,-5.585879,4.359451
